aaeelnopr aeroplane aéroplane
aeeooprrt aeroporte aéroporté
aeooprrst aeroports aéroports
aceeooprs aeroscope aéroscope;appareil mesurant la quantité de poussière contenue dans l'air
aaeorsstt aerostats aérostats
aeeiorrst aerostier aérostier;pilote d'un aérostat
aaeinorrt aerotrain Aérotrain;(nom déposé) véhicule se déplaçant sur coussin d'air le long d'une voie monorail
aabeefflu affabulee affabulée*
aabefflru affabuler affabuler
aabefflsu affabules affabulés*
aabeffiil affaiblie affaiblie
aabffiilr affaiblir affaiblir
aabffiils affaiblis affaiblis
aaaffinrt affairant affairant
aaeeffirs affairees affairées
aaeeffiss affaissee affaissée
aaeffirss affaisser affaisser
aaeffisss affaisses affaissés
aaaeffgit affaitage affaitage;(ou affaitement) dressage d'un oiseau de proie
aaeffmrsu affameurs affameurs
aaeeffmsu affameuse affameuse
aaceffntt affectant affectant
aceeeffst affectees affectées
acefffist affectifs affectifs
aceffinot affection affection
aceeffitv affective affective
aeeeffnrt afferente afférente
aeeffnrst afferents afférents
aaeeffgmr affermage affermage;action d'affermer (donner ou prendre un bien rural à bail) un bien rural
aaeffmnrt affermant affermant;affermer(vt) : donner ou prendre un bien rural à bail
aeeeffmrs affermees affermées
aeeffimrs affermies affermies
aeeeffirt affeterie afféterie;(ou affèterie) abus du maniéré dans l'attitude ou le langage
aeeeffirt affeterie affèterie
aaceffghi affichage affichage
aacffhint affichant affichant
aceeffhis affichees affichées
aceffhiru afficheur afficheur
aadffiitv affidavit affidavit;déclaration sous serment par les porteurs étrangers de certaines valeurs mobilières
aaeffgils affilages affilages
aaffiilnt affiliant affiliant
aeeffiils affiliees affiliées
affiilors affiloirs affiloirs
aaeffgins affinages affinages
aeeffiinr affinerie affinerie;établissement d'affinage et de purification des métaux
aeffinrsu affineurs affineurs
aeeffinsu affineuse affineuse
aeffiinst affinites affinités
aeffiqstu affiquets affiquets
aaffimnrt affirmant affirmant
aeeffimrs affirmees affirmées
aaeffilsx affixales affixales*#
aeeefflru affleuree affleurée
aeefflrru affleurer affleurer
aeefflrsu affleures affleurés
acfffiilt afflictif afflictif;provoquant l'affliction (chagrin ou douleur intense)
aeeffgils affligees affligées
aafflnotu afflouant afflouant*;afflouer(vt) : renflouer
aeefflosu afflouees afflouées*
aceefflnu affluence affluence
aeefflntu affluente affluente
aefflnstu affluents affluents
aaefflnot affolante affolante
aafflnost affolants affolants
aaeeffgou affouagee affouagée
aaeffgoru affouager affouager
aaeffgosu affouages affouages
aaeffgosu affouages affouagés
aeffillou affouille affouillé;affouiller(vt) : raviner un terrain meuble sous l'action de l'eau
aaeffgoru affourage affouragé;affourager ou affourrager(vt) : distribuer du fourrage au bétail
aceffhoru affourche affourché;affourcher(vt) : mouiller un navire sur 2 ancres dont les chaînes forment un V
aacffhinr affranchi affranchi
aaeffnrtt affretant affrétant
aeeeffrst affretees affrétées
aeeffrrtu affreteur affréteur
aeeffrssu affreuses affreuses
aadeffinr affriande affriandé;affriander(vt) : allécher
aeeffilor affriolee affriolée
aeffilorr affrioler affrioler
aeffilors affrioles affriolés
aeeffiqru affriquee affriquée;se dit d'une consonne occlusive au début de son émission et constrictive à la fin
aeffiqrsu affriques affriqués*(22)
aeeffnort affrontee affrontée
aeffnorrt affronter affronter
aeffnorst affrontes affrontés
aabfflntu affublant affublant
abeefflsu affublees affublées
affinossu affusions affusions
aaeffgstu affutages affutages~(12)
aaeffgstu affutages affûtages
aeffrstuu affuteurs affuteurs*~(19)
aeffrstuu affuteurs affûteurs*
aeeffstuu affuteuse affuteuse~(12)
aeeffstuu affuteuse affûteuse
aaffituux affutiaux affutiaux~(12)
aaffituux affutiaux affûtiaux;bagatelles ou colifichets
afiioorrt afortiori a fortiori(00)
afiioorrt afortiori à fortiori~(12)
aacefiinr africaine africaine
aacfiinrs africains africains
aaafiknrs afrikaans afrikaans;(ou afrikans)
aaefiknrr afrikaner afrikaner;(ou afrikaander) se dit des habitants d'Afrique du Sud
aabeforst afrobeats afrobeats(10)
aabeforst afrobeats afro-beats(10)
acfkoorrs afrorocks afrorocks~(12)
acfkoorrs afrorocks afro-rocks(00)
aaacegnst agacantes agaçantes
aaceegmnt agacement agacement
