TEHOSISIRI (9) | historiés (vt), histoires
SEDOCUDYSO (8) | coudoyés (vt), soudoyés (escudos)
EGITULEBIR (8) | giletier(ière), liturgie, tuilerie, tuilière(ier)
ILISIGESEL (9) | sigillées (adj)
MODETASECU (9) | comateuse (adj)
SVOQONUNEL (8) | soûlonne (-on) (x)
MALINATTUA (9) | matutinal(adj) (miaulant(vi),mutilant)
AETHESASCI (10)| acathésies ((châtiées, ecstasié (adj))
SINATEVIGI (9) | vaginites (angiites (ou angéite), vintages)
DAMYIUDVUC (6) | vacuum, DVD-CAM(s) (DVD-Rom inv), viaduc (caddy(s, ou caddie(s)))
EXODIGUDUR (8) | dégourdi (vt) (dérougi (vi))
EFBEBNNEIZ (7) | benzène, benzine
HMIXQLEEIY (6) | ixième, xylème
OSTCNSAYEI (9) | cessation, cytosines
EPOMEREITT (9) | météorite, trompe(é)tée (vt, ou trompetter)
CUUSALINAA (9) | lacaunais° (x) ((x))
NIREGEVALS (10)| névralgies (algériens,galériens,nivelage,valériens,réalignés,envisager...)
ATETIIREPO (9) | pétitoire (patriote, topiaire, tripotée)
NETECUSIBO (9) | cénobites, inécoutés (adj), obscénité
RACERISARA (8) | carrares, carriers (n, + carier, vt) (araires, arriser)
MSABASROLZ (7) | malbars
NUNITEBORO (10)| boutonnier (boutonner)
TABOLASASI (7) | balatas, isolats, sablais°
VIRAMELIDG (8) | démaigri (vt)
UCAGEXUCET (7) | céteaux
GENITOQERO (8) | orogénie
UONOSBENEG (10)| bougonnées (vt) (bougonnes) ((x))
AEADFNNEUI (7) | feniane(ian),adénine,finaude(aud)
ENIPSLTEEE (9) | lepéniste (leptines, splénite, sélénite)
AROEGIPILT (9) | galipoter(vt) (gratiole,parigote,pilotage,polarité,topiaire,trilogie,poitrail)
LTSIGABMTL (7) | gambits (lambis,litsam,stigma,tamils,lattis(inv),millas(inv))
NEELNCIIUC (8) | célinien°, inclinée, licencié
REISAAABSP (9) | parabases
NAFALENEVO (7) | félonne(-on), fovéale(-al,aux)
NSETALUGIM (10)| glutamines (ligaments,minutages,simultané(adj))
RAROTENITE (9) | réitérant, rentraite(vt)
ESESUVEREV (9) | verveuses (-eux)
NFUGONTESU (8) | onguents
GEERUVEERU (8) | vergeure, vergeüre
POLATALEBE (8) | ballotée(vt,ballotter),boletale,pélobate(pélobatidé)
SESIDIDURE (9) | druidesse (diurèses)
HIDETYLISA (8) | hyalites, lithiase, thyiades
PIKOTIRODE (8) | dépotoir, dioptrie, piédroit, tripodie
GUNABONARU (7) | brugnon, ouragan
DATAGESUNI (9) | déguisant,gaditanes(an) (aidantes,Agnus Dei(inv),antiâges,nigaudes,satinage,tanisage)
WUCAIREEHG (9) | gaucherie (aguichée/er, gauchère)
EEPNNPISIL (9) | pipe(-)lines (îliennes°, pliniens°)
BLMOECUAET (9) | butomacée(nf),camboulée(vt,ou cambaler) (métabole,camelote,colmatée)
SEGICIPTDR (8) | picrides, strigidé (nm)
NAAIIZSEAT (8) | tanaisie (seizain, taenias)
RELRSPOINB (8) | briérons(-onne),prolines,spirorbe (bernois,liseron,opinels,rôniers,...)
ESEUNRRSUU (8) | susurrée (ressuer (vt), senseur (nm) (+censeur(e)))
FCTSLEEAPO (9) | postfacée(vt) (capelets,capotées(vt),escalopé(vt),foetales,pactoles)
