aaaefggr agrafage agrafage
aaafgnrt agrafant agrafant
aaeefgrs agrafees agrafées
aaeeginr agrainee agrainée
aaeginrr agrainer agrainer
aaeginrs agraines agrainés
aaegirrs agraires agraires
aadeginr agrandie agrandie
aadginrr agrandir agrandir
aadginrs agrandis agrandis
aaeghipr agraphie agraphie;trouble neurologique caractérisé par une perturbation du langage écrit
aaeginrr agrarien agrarien;partisan de la défense des intérêts des grands propriétaires
aabeeglr agreable agréable
aaeggrst agregats agrégats
aeeeggrs agregees agrégées
aeegmnrt agrement agrément
aeeegrss agressee agressée
aeegrrss agresser agresser
aeegrsss agresses agressés
aefgirss agressif agressif
aeegrsst agrestes agrestes
acegilor agricole agricole
aeeffgir agriffee agriffée
aeffgirr agriffer agriffer
aeffgirs agriffes agriffés
aegiorst agriotes agriotes
aeegippr agrippee agrippée
aegipprr agripper agripper
aegipprs agrippes agrippés
aegmnoor agronome agronome
agiorsst agrostis agrostis;(ou agrostide) herbe vivace abondante dans les prés et les pelouses
aeegirru aguerrie aguerrie
aegirrru aguerrir aguerrir
aegirrsu aguerris aguerris
aeegisuu agueusie agueusie;diminution ou perte totale du goût
aceeghiu aguichee aguichée
aceghiru aguicher aguicher
aceghisu aguiches aguiches
aceghisu aguiches aguichés
aeegillu aguillee aguillée(19)
aegillru aguiller aguiller(19)
aegillsu aguilles aguillés(19)
aacdeins aidances aidances*(21)
aadeinst aidantes aidantes(07)
aefgiiln aiglefin aiglefin;(ou églefin) poisson de la famille des gadidés proche de la morue et dont la chair fumée donne le haddock
aeegiltt aiglette aiglette*;(ou alérion) petite aigle sans bec ni pattes
aegilnno aiglonne aiglonne
aefgiinr aigrefin aigrefin;escroc
aeegilrt aigrelet aigrelet
aeegirtt aigrette aigrette
aeegirtt aigrette aigretté*#;caché à aigrette
aegirrsu aigreurs aigreurs
aagiilsu aiguails aiguails
aeegiiru aiguiere aiguière;vase à eau muni d'un bec et d'une anse
aegiillu aiguille aiguille
aegiillu aiguille aiguillé
aeegiisu aiguisee aiguisée
aegiirsu aiguiser aiguiser
aegiissu aiguises aiguisés
aaeilnst ailantes ailantes
aeilnors ailerons ailerons
aeeilstt ailettes ailettes
aeeiilrs ailieres ailières(04)
aadeills aillades aillades
aeillrsu ailleurs ailleurs
aiilllos aillolis aillolis
aabeilms aimables aimables
aaeeimnt aimantee aimantée
aaeimnrt aimanter aimanter
aaeimnst aimantes aimantes
aaeimnst aimantes aimantés
aeeinsss ainesses ainesses~(12)
aeeinsss ainesses aînesses
aadeeilr airedale airedale;grand terrier anglais
aeeillrs airelles airelles
aeiiorss airoises airoises°(01)
aaceinss aisances aisances
aeeimnst aisement aisément
aaeissux aisseaux aisseaux
aeeillss aisselle aisselle
aeiiossx aixoises aixoises
aacceijn ajaccien ajaccien°(01);d'Ajaccio
aeeijnot ajointee ajointée
aeijnort ajointer ajointer
aeijnost ajointes ajointés
aajnortu ajourant ajourant
aeejorsu ajourees ajourées
aeejnoru ajournee ajournée
aejnorru ajourner ajourner
aejnorsu ajournes ajournés
aajnottu ajoutant ajoutant
aeejostu ajoutees ajoutées
aaegjstu ajustage ajustage
aajnsttu ajustant ajustant
aeejsstu ajustees ajustées
aejrstuu ajusteur ajusteur
aaegjstu ajutages ajutages
aeeiikns akinesie akinésie;(ou acinésie) symptôme neurologique consistant en une difficulté à réaliser des mouvements
aadeikkn akkadien akkadien;langue sémitique de la Mésopotamie ancienne
aaikstvv akvavits akvavits
aaceilrt alacrite alacrité;enjouement
aaeeilss alaisees alaisées
aabcilms alambics alambics
aadeilnr alandier alandier;foyer d'un four de céramiste
aaegilnu alanguie alanguie
aagilnru alanguir alanguir
aagilnsu alanguis alanguis
aaeilnns alanines alanines
aaeilotu alaouite alaouite(14);(ou alawite) descendant de la dynastie des Alaouites
aaalmnrt alarmant alarmant
aaeelmrs alarmees alarmées
aailmrst alastrim alastrim*;forme mineure de la variole
aaeelnrt alaterne alaterne*;nerprun à feuilles persistantes
aaddeilu alaudide alaudidé#(01);famille de l'alouette
aaeilstw alawites alawites(14)
aabcelor albacore albacore;thon blanc ou jaune
aaabilns albanais albanais
aabelrst albatres albâtres
aablorst albatros albatros
abeilnrt albertin albertin°(01);d'Albert (80)
abeiilnn albinien albinien°(01);d'Aubigny-sur-Nère (Cher)
aabelqru albraque albraque;ensemble de galeries rassemblant les venues d'eau d'une mine avant leur pompage
abegilnu albugine albuginé*;de couleur blanchâtre
abelmnsu albumens albumens
abeilmnu albumine albumine
abeilmnu albumine albuminé
abelmosu albumose albumose*;polypeptide produit par l'hydrolyse incomplète d'une protéine
aaceilln alcaline alcaline
aacillns alcalins alcalins
aacellos alcalose alcalose;caractère basique excessif du plasma sanguin
aaaclrsz alcazars alcazars
acehiilm alchimie alchimie
aaclloot alcoolat alcoolat
acelloos alcooles alcoolés*
acllooos alcoolos alcoolos*
aaclnors alcorans alcorans*
acelostt alcotest Alcotest
acellosy alcoyles alcoyles
addeehly aldehyde aldéhyde;nom usuel de l'éthanol
aelnortu alentour alentour
aeelostu aleoutes aléoutes*
aeeilnps alepines alépines
aeeilnpp aleppine aleppine°(01)
aeilnpps aleppins aleppins°(01)
aeilnors alerions alérions
aaelnrtt alertant alertant
aeeelrst alertees alertées
aaeeglss alesages alésages
aeelrssu aleseurs aléseurs
aeeelssu aleseuse aléseuse
aeeilnss alesiens alésiens°(01)
aeilorss alesoirs alésoirs
aeeilrtu aleurite aleurite;arbre représenté par l'arbre à huile ou le bancoulier
adeeloru aleurode aleurode;hémiptéroïde blanchâtre dont diverses espèces attaquent le chou ou le chêne
aeelnoru aleurone aleurone;substance protéique de réserve qui forme des grains microscopiques dans les cotylédons
aeeeilnv alevinee alevinée
aeeilnrv aleviner aleviner
aeeilnsv alevines alevinés
aeeilnsx alexines alexines*
aeeilqux alexique alexique*#(01);caché à alexie
aaeelnsz alezanes alezanes
aaafflls alfalfas alfalfas(12)
aaefilrt alfatier alfatier;relatif à l'alfa
aaadeglr algarade algarade;altercation survenant inopinément
abeeglrs algebres algèbres
aeegilnr algerien algérien
aegilors algerois algérois
acdegiil algicide algicide*(01);qui empêche la prolifération des algues
adegiilt algidite algidité;refroidissement de la peau avec sensation de froid
aaegilnt alginate alginate;sel de l'acide alginique utilisé dans l'industrie pharmaceutique ou alimentaire et textile
aegilqsu algiques algiques
agiklnno algonkin algonkin*#;caché à algonquin
aaceilnt alicante alicante;vin liquoreux
aaddeils alidades alidades
aaeilnnt alienant aliénant
aeeeilns alienees aliénées
aagilnnt alignant alignant
aeegilns alignees alignées
aegilost aligotes aligotés
aeeilmnt alimente alimenté
aeilmnst aliments aliments
aeiloqtu aliquote aliquote;diviseur d'un nombre
aeiilrss alisiers alisiers
aaiilrsz alizaris alizaris*
aeeilnsz alizeens alizéens*#
aeiilrsz aliziers aliziers
aeeklmrs alkermes alkermès*;liqueur à base de cannelle et de girofle
aaeeillt allaitee allaitée
aaeillrt allaiter allaiter
aaeillst allaites allaités
aaellnst allantes allantes
aceeehll allechee alléchée
aceehllr allecher allécher
aceehlls alleches alléchés
aeeeglls allegees allégées
aeegllrs allegres allègres
aegllors allegros allegros*
aegllors allegros allégros*
aeeegllu alleguee alléguée
aeegllru alleguer alléguer
aeegllsu allegues allégués
aaeilllu alleluia alléluia
aadellmn allemand allemand
aeegillr allergie allergie
aaceeill alliacee alliacée
aaceills alliaces alliacés
aaegills alliages alliages
aaeiillr alliaire alliaire;plante à fleurs blanches à odeur d'ail
aaceilln alliance alliance
aadilllo allodial allodial*;qui appartient à un alleu (terre libre ne relevant d'aucun seigneur et exempte de toute redevance)
aaegllmo allogame allogame*#;caché à allogamie (pollinisation d'une fleur par le pollen d'une autre fleur)
aeegllno allogene allogène;se dit d'une population d'arrivée récente dans un pays
aeegllno allongee allongée
aegllnor allonger allonger
aegllnos allonges allonges
aegllnos allonges allongés
aellmoos allosome allosome;chromosome sexuel
aeillost alloties alloties
aallnotu allouant allouant
aeellosu allouees allouées
achllnou alluchon alluchon*;dent d'engrenage adaptable à une roue
aaegllmu allumage allumage
aallmntu allumant allumant
aeellmsu allumees allumées
aellmruu allumeur allumeur
aeellrsu allurees allurées
afillssu allusifs allusifs
aillnosu allusion allusion
aeillsuv allusive allusive
aaillluv alluvial alluvial
aillnouv alluvion alluvion
aaachlmn almanach almanach
aadilmnn almandin almandin;grenat aluminoferreux brun-rouge
aeillnos alnelois alnélois°(01);d'Auneau (Eure-et-Loir)
aaeelorv aloevera aloe vera(07)
aaeelorv aloevera aloé véra*#(10)
aegiloqu alogique alogique;opposé aux lois de la logique
aceeilop alopecie alopécie;chute ou absence partielle ou généralisée des cheveux ou des poils
aaelostu alouates alouates
aeelottu alouette alouette
adeiloru alourdie alourdie
adilorru alourdir alourdir
adilorsu alourdis alourdis
aaeeglpu alpaguee alpaguée
